upc,cedis,cluster,date,on_hand,stores_reporting,stockout_store_share,daily_mean_7d,demand_7d_p50,demand_7d_p90,cover_days,cover_threshold,p_stockout_7d,alert_cover,alert_prob,alert_iforest,iforest_score,severity
750101310054,CMTY,A-Y,2026-04-02,6488.0,245,0.00816326530612245,180.39797124082745,1262.785798685792,1752.263283303751,35.96492773934058,14,7.635225784952127e-11,False,False,False,0.49365856722906687,none
750101310312,CMTY,A-Y,2026-04-02,162113.0,483,0.037267080745341616,5153.25205721348,36072.76440049436,48503.16039712774,31.458387480401925,14,3.9032332921351554e-11,False,False,False,0.36115621348680593,none
750101310314,CMD2,A-Y,2026-04-02,128199.0,510,0.0392156862745098,7189.163147536376,50324.14203275463,60472.68378604635,17.832256323732476,14,3.43853834294805e-11,False,False,False,0.3722599554074155,none
750101310555,CMTY,B-Y,2026-04-02,1759.0,66,0.09090909090909091,43.021671020229746,301.1516971416082,424.82318289751925,40.886370944840316,14,2.4514612562143157e-11,False,False,False,0.3634002491821548,none
750101310312,CMD2,A-Y,2026-04-02,161094.0,510,0.023529411764705882,7444.800341482644,52113.60239037851,64910.29519652144,21.63845806614578,14,2.2484569761616058e-11,False,False,False,0.3735113203828506,none
750101310407,CMTY,A-Y,2026-04-02,31602.0,484,0.010330578512396695,1789.7659986243511,12528.361990370458,14996.742414348511,17.657056857874107,14,2.1509127812180395e-11,False,False,False,0.3713633902693697,none
750101310968,TLJ,B-Y,2026-04-02,50608.0,463,0.017278617710583154,2212.303197658775,15486.122383611424,19457.10285497788,22.875707115352533,14,1.4835688233461042e-11,False,False,False,0.3972295578877226,none
750101310314,CMTY,A-Y,2026-04-02,124912.0,484,0.030991735537190084,4593.302819470089,32153.119736290624,41702.24147021788,27.194375139066185,14,1.1309064795739232e-11,False,False,False,0.3684226890284844,none
750101310621,CMTY,B-Z,2026-04-02,899.0,62,0.016129032258064516,26.871156766407438,188.09809736485207,253.5758302597863,33.45594712632063,21,9.623746244358244e-12,False,False,False,0.45737022796793864,none
750101135068,CCUL,A-Z,2026-04-02,845.0,56,0.05357142857142857,16.464837397469456,115.25386178228618,167.87062854942468,51.321490738188,21,5.639488875885945e-12,False,False,False,0.3587160326909977,none
