upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
750101310326,CCUL,2,2026-04-13,1437.5753294578708,1608.2125491315242,2077.5257780081993,2749.8196850693753,2834.646330102644,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,3,2026-04-20,1432.0453082178738,1602.1146871857268,2090.669433042473,2704.777102350936,2983.906939492529,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,4,2026-04-27,0.0,1600.0913278176404,2262.336342994941,2979.577977919912,11135.99525928422,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,5,2026-05-04,1202.8155675599012,1321.5926532415465,2163.061495028942,2923.315096508689,3170.1281427318177,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,6,2026-05-11,0.0,1206.572961692938,2271.933599428484,3339.724556180212,11352.805044971745,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,7,2026-05-18,0.0,1338.8202914439223,2238.1812709194655,2984.021253035886,11183.407597852984,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,8,2026-05-25,0.0,1284.2868760547822,2258.413845862242,3154.682259401872,11349.34489642739,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,1,2026-04-06,6234.91558603934,7310.438451392791,8283.133110667908,9950.381517100795,11122.032362712958,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,2,2026-04-13,6246.859725375341,7188.004066284006,8672.58654587701,10806.437424574942,11740.585320780845,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,3,2026-04-20,0.0,6667.926257253312,8677.716967759965,11950.37077204879,44734.920157737666,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,4,2026-04-27,0.0,6426.606267877834,9485.640054458509,13385.399483382731,45315.045543354005,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,5,2026-05-04,0.0,5456.593359900706,9121.412607233486,13345.22896452732,45848.75985833307,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,6,2026-05-11,0.0,4783.665992044212,9603.175206882717,14913.682408231969,47107.306181512344,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,7,2026-05-18,0.0,5637.581940535105,9291.609857556321,12341.89975507727,45558.54711673172,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMD2,8,2026-05-25,0.0,5395.523395320839,8866.044315155472,12919.511967428534,46216.01731415315,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,1,2026-04-06,2368.2202603626106,2846.138714862676,3419.0207393680157,4243.992401574604,4519.559234271666,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,2,2026-04-13,2415.589769064044,2791.412508083955,3532.6695614073797,4477.476855953444,4791.029104834897,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,3,2026-04-20,0.0,2746.5231926488814,3506.8302841303444,4837.162097135564,18733.20445794623,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,4,2026-04-27,0.0,2645.107718294702,3740.239491904794,5334.846965289413,19133.350945674447,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,5,2026-05-04,0.0,2184.5554279431876,3608.5285643955954,5756.38314018567,19385.12937402056,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,6,2026-05-11,0.0,1861.6595306762822,3964.317326269254,6503.239438383701,19957.409841898443,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,7,2026-05-18,0.0,2263.8252807238327,3679.675308985592,5370.500888625193,19283.410370356018,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CMTY,8,2026-05-25,0.0,2091.5171339596213,3664.9174230741023,5748.934250944584,19649.423882169143,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,1,2026-04-06,1067.4159269917543,1312.977737797866,1755.523464056772,2129.391743818366,2329.5310767059304,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,2,2026-04-13,1026.6483102338057,1334.2370518436892,1820.741006734545,2258.742636557035,2617.3533891037205,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,3,2026-04-20,0.0,1208.1232397444026,1868.9721669031962,2526.8911224705707,8916.81650076178,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,4,2026-04-27,0.0,1229.3040531688566,1916.4544935807787,2618.050799697992,8986.009320000061,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,5,2026-05-04,0.0,1003.7859739381549,1929.9168337616434,2703.519126419947,9083.610653987034,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,6,2026-05-11,0.0,899.2569151964839,2028.1874762542745,3020.4987616315057,9277.827684270529,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,7,2026-05-18,0.0,1015.8438501801979,1957.1148917452997,2554.205379201488,9058.776038763179,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,MXLI,8,2026-05-25,0.0,971.1097316185219,1865.127417832586,2666.62859102918,9173.34581893982,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,TLJ,1,2026-04-06,2343.375966226841,2726.2704076685204,3126.0290560826716,4027.94716213729,4147.130176094889,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,TLJ,2,2026-04-13,2379.306234656062,2604.8781692868056,3363.9995295396357,4493.57688878933,4555.98459141079,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,TLJ,3,2026-04-20,0.0,2445.9290773074713,3389.5440092321023,4950.003664098656,17725.20946789608,lgbm,2026-03-30,107,final,A-Y,False,False,False
