model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
lgbm,B-Z,5,720,0.14643214807857763,0.9307141356456876,-0.12765011799153433,0.04755687079220573,0.7041666666666667,0.5805555555555556,0.5304204828143383
lgbm,B-Z,6,720,0.07643837429251046,0.9414067897976703,-0.007618761520753684,0.01936414954322278,0.9041666666666667,0.7861111111111111,0.5170775802081927
lgbm,B-Z,7,720,0.10307052323660486,0.22868868570654702,-0.017222765155617242,0.025500869999380636,0.8125,0.7194444444444444,0.4471614905595981
lgbm,C-Z,0,48,0.16401325699234653,0.14953961423465392,-0.09091086729397001,0.057578648686018606,0.875,0.6875,2.2875711025109964
lgbm,C-Z,1,48,0.3012179656674953,0.3131002506517925,-0.3012179656674953,0.09541813424204336,0.375,0.041666666666666664,0.49056400252031807
lgbm,C-Z,2,48,0.13647484505832172,0.1838739142821205,-0.11979594750320156,0.04771446483194588,0.4166666666666667,0.22916666666666666,0.4905903811420359
lgbm,C-Z,3,48,0.12215774992251881,0.12288484859455323,-0.04378202412962544,0.028568075688115684,0.9791666666666666,0.6875,0.608372291577022
lgbm,C-Z,4,48,0.16005691046280646,0.14874207808543446,-0.10935768628230033,0.03819079877526206,0.8125,0.6458333333333334,0.6876542974632693
lgbm,C-Z,5,48,0.0951512523090694,0.10232275162976236,-0.007952835204444656,0.025700472484358167,0.9166666666666666,0.75,0.5915718171356305
lgbm,C-Z,6,48,0.09598785251033226,0.13823625079669696,0.08083113691103856,0.028063404349805355,1.0,0.8125,0.588145971873974
lgbm,C-Z,7,48,0.0768959644827418,0.08866696833571962,0.04088860730209265,0.022174598332692662,0.875,0.75,0.429612876739183
ma4,A-X,0,48,0.10429967401634956,0.12082954660275287,0.06577193479694987,0.045227507722197066,1.0,1.0,1.406306890957773
ma4,A-X,1,48,0.12787516784488787,0.14479331800103298,-0.03649292474370518,0.04451965760539682,1.0,1.0,1.4588720083248474
ma4,A-X,2,48,0.16772343672334103,0.15482189432655044,-0.16185586105853308,0.044962908833405854,1.0,0.9166666666666666,1.45330742715646
ma4,A-X,3,48,0.17117492352815497,0.14561303210156862,-0.12960699373246168,0.044119519255568056,1.0,0.875,1.2209790367000752
ma4,A-X,4,48,0.19150901460384298,0.18758052760104793,-0.1414085926508061,0.04846935551211339,0.8958333333333334,0.8125,1.1252571812341476
ma4,A-X,5,48,0.18482224308533354,0.23522976741505375,-0.08100901305685977,0.04920228424027386,0.8958333333333334,0.8333333333333334,1.0473002153994753
ma4,A-X,6,48,0.28314715473710067,0.2754922476226796,0.2823781490611228,0.06735897481289413,0.8958333333333334,0.5416666666666666,0.8455652711421064
ma4,A-X,7,48,0.17078645399394388,0.1814516957684356,0.047698473401980704,0.04836781474743965,0.8541666666666666,0.8333333333333334,1.0092430269774804
ma4,A-Y,0,912,0.17533891726587036,0.29237656501784814,0.012743610242032521,0.07200392737911258,0.9353070175438597,0.8991228070175439,1.70183504212704
ma4,A-Y,1,912,0.2842965055994401,0.20552244580277085,-0.22186995044695293,0.07327133241256312,0.9989035087719298,0.9682017543859649,1.9300372187636174
ma4,A-Y,2,912,0.21134125049558947,0.1848155245873537,-0.16458767865727186,0.06349993313935036,1.0,0.9769736842105263,1.903579194956035
ma4,A-Y,3,912,0.19761182755350695,0.1859899071809475,0.026241329950602476,0.06456552471339502,1.0,0.993421052631579,1.5981545759263809
ma4,A-Y,4,912,0.2725722713726457,0.29830855878816576,0.19252328028549243,0.07767889877793147,0.9912280701754386,0.9714912280701754,1.5468270330495142
ma4,A-Y,5,912,0.21733385406710878,0.2327941075252518,-0.020003115474094422,0.0669457002470705,0.993421052631579,0.9791666666666666,1.6996990672889856
ma4,A-Y,6,912,0.2566275605005412,0.21793239364363992,-0.2156362203566357,0.06371472103093465,0.993421052631579,0.9506578947368421,1.8795349155656504
ma4,A-Y,7,912,0.14922108840376083,0.16175432821453728,-0.08937939788105118,0.05431438357602917,0.9682017543859649,0.9100877192982456,1.6200070840832335
ma4,A-Z,0,640,0.2961889987509562,1.0885352174994463,-0.18653980365229847,0.09889025191471688,0.9296875,0.8984375,1.3969104872291997
ma4,A-Z,1,640,0.4970182928821568,1.14981698526725,-0.460774120918675,0.09858572841000525,0.896875,0.83125,1.404163506989684
ma4,A-Z,2,640,0.35677121010266244,0.6396269753134393,-0.275459506629854,0.0820870623702544,0.8828125,0.8171875,1.3419563847750449
ma4,A-Z,3,640,0.30344281389578587,0.41112361913270506,0.1466615179494728,0.08065097001848157,0.9,0.8578125,1.2128052586943041
ma4,A-Z,4,640,0.39607882456465693,0.35522938323931497,0.2797248008186444,0.09674052515425802,0.9359375,0.8765625,1.2119991693527827
ma4,A-Z,5,640,0.23061170664688507,0.4909185116250261,-0.05214332118375151,0.07352812676033559,0.9375,0.878125,1.2241739832337837
ma4,A-Z,6,640,0.2745462402932529,0.43842222183314183,-0.18898459170106607,0.06987352660401966,0.90625,0.8015625,1.1764708034262044
ma4,A-Z,7,640,0.20653033962430645,0.7693355179525225,-0.14901156291163753,0.06609647232580025,0.846875,0.74375,1.181729291178737
ma4,B-Y,0,256,0.11702743443469675,0.1524523224725195,0.07302685312833473,0.052268325640860015,0.9609375,0.890625,1.3702228791132716
ma4,B-Y,1,256,0.10678579509296021,0.1406005244402393,-0.022283835902995104,0.04883780471004929,0.98828125,0.953125,1.3038561059930818
ma4,B-Y,2,256,0.1816382240736573,0.17393724534059207,-0.1257728813132766,0.05201415476918384,0.96875,0.91796875,1.3200955239645746
ma4,B-Y,3,256,0.1615961692456166,0.15743109973341654,-0.13368162552316318,0.0480440612519255,0.94921875,0.91015625,1.214106856928333
ma4,B-Y,4,256,0.2387811811827385,0.16805075072045977,-0.1742609486935337,0.08043903094919078,0.94140625,0.8828125,1.04957472527418
ma4,B-Y,5,256,0.28682659109184744,0.1859750993780474,-0.1395617525057813,0.08813387186396501,0.93359375,0.82421875,1.0346209055048177
ma4,B-Y,6,256,0.394789096979464,0.29804869221503527,0.29578330244982404,0.10097360785307379,0.85546875,0.7890625,0.9684245521932001
ma4,B-Y,7,256,0.2972892753430363,0.22642960564627845,-0.28704022329479967,0.06761820960586656,0.79296875,0.66796875,1.0430650566172446
ma4,B-Z,0,704,0.12182703719935502,0.17738257329120743,-0.05691736245426045,0.04386262147619456,0.9332386363636364,0.8678977272727273,0.9745879380621687
ma4,B-Z,1,704,0.15531816244599053,0.3411053295496108,-0.03994721529455535,0.04847373033814104,0.90625,0.8565340909090909,0.8750876974117445
ma4,B-Z,2,704,0.16014362224119696,0.5883922574947413,0.07127146232013819,0.041295171024654166,0.890625,0.8110795454545454,0.7943067242791853
ma4,B-Z,3,704,0.13308109909166638,0.4501106951705204,0.008917058992213827,0.04062360492698214,0.8821022727272727,0.7997159090909091,0.8222791787238273
ma4,B-Z,4,704,0.1791853122221034,0.7626670566628855,-0.11175899783160831,0.05269120912353278,0.8636363636363636,0.7670454545454546,0.7604552003108223
ma4,B-Z,5,720,0.19828890546579309,1.0247478999162023,-0.1464822708622524,0.054283248971244105,0.8180555555555555,0.6958333333333333,0.7542587800747804
ma4,B-Z,6,720,0.17315269571309105,0.8131936967367166,0.08906540385666664,0.04084680617354512,0.8652777777777778,0.7513888888888889,0.7221778996439422
ma4,B-Z,7,720,0.1388429551756195,0.4092644577227728,-0.07814832810142068,0.037204249992516335,0.8930555555555556,0.7861111111111111,0.7484028192026186
ma4,C-Z,0,48,0.16000566202482516,0.1803619123415404,-0.020541039909010062,0.08422233163779982,1.0,1.0,2.539125933239132
ma4,C-Z,1,48,0.286369957949089,0.31356111665480507,-0.286369957949089,0.08172040774658026,1.0,1.0,2.809097447518316
ma4,C-Z,2,48,0.20603868836948797,0.24661661143593339,-0.1779033828051774,0.07189312804976927,1.0,1.0,2.2571237322391546
ma4,C-Z,3,48,0.18586735413532274,0.1950374925556492,-0.08666238675913765,0.0710980307237048,1.0,1.0,2.0523821715425776
ma4,C-Z,4,48,0.33610434188586713,0.4871743084529181,0.2175033207331565,0.09707526151973594,1.0,1.0,1.9049043506931744
ma4,C-Z,5,48,0.26153706983250885,0.3307239374937835,-0.028388356332484942,0.0800096304494986,1.0,1.0,2.040623347957572
ma4,C-Z,6,48,0.3374026987749357,0.34709916121300655,-0.3374026987749357,0.0747745853509787,1.0,0.9375,2.281436739853992
ma4,C-Z,7,48,0.11335550629771286,0.117923792249235,-0.045315184837051714,0.056772365209585354,1.0,1.0,1.8226650207212887
seasonal_naive,A-X,0,48,0.4012959202372201,0.521614805068873,0.39350400167060195,0.10993247126989177,0.6458333333333334,0.5625,0.6028068827099868
seasonal_naive,A-X,1,48,0.3714445461079379,0.47866520585127503,0.30717183149056654,0.09460609580122974,0.5416666666666666,0.4166666666666667,0.668320039088574
seasonal_naive,A-X,2,48,0.2778869032814091,0.360054831529973,0.10848248113790535,0.06999341792044775,0.7291666666666666,0.5,0.7580302761523193
seasonal_naive,A-X,3,48,0.2604318371187877,0.30434645449469794,0.178905336109237,0.0633017925227049,0.7708333333333334,0.6666666666666666,0.5412542120949315
seasonal_naive,A-X,4,48,0.3367495280200948,0.3287092821357434,0.32972971541167134,0.06880977787134912,0.6666666666666666,0.6458333333333334,0.3663887324028768
seasonal_naive,A-X,5,48,0.3410433346512061,0.34675560520919496,0.339545105378244,0.06558649116912249,0.7708333333333334,0.6666666666666666,0.3983236333025559
seasonal_naive,A-X,6,48,0.29318383133833903,0.3374039158957746,0.22958995115851683,0.06373076190439367,0.8125,0.7291666666666666,0.5579412246696112
seasonal_naive,A-X,7,48,0.20859921656250538,0.3044665156903529,0.0659093645341294,0.0588793218066074,0.8541666666666666,0.75,0.7724372803822412
seasonal_naive,A-Y,0,912,0.6054343155950989,0.6462217370806399,0.5647696427887696,0.155139412497289,0.7445175438596491,0.6677631578947368,1.0705812877277137
seasonal_naive,A-Y,1,912,0.5983351063412958,0.6320265987248495,0.5758171444524924,0.13246174485149995,0.7017543859649122,0.5899122807017544,1.035285325114186
seasonal_naive,A-Y,2,912,0.5834770012137861,0.5383610593047717,0.542106386904931,0.11630554141437414,0.7532894736842105,0.6359649122807017,1.0450712764081111
seasonal_naive,A-Y,3,912,0.5922590239807293,0.4998113090401922,0.5440540659903541,0.12075097194424958,0.8081140350877193,0.7291666666666666,1.054520499430534
seasonal_naive,A-Y,4,912,0.5481411281110262,0.4849971854413251,0.5133708691935691,0.1076208118280855,0.881578947368421,0.8201754385964912,1.112970842590392
seasonal_naive,A-Y,5,912,0.6114554768781555,0.43883967552524344,0.5679486088478861,0.11055856409062788,0.856359649122807,0.7554824561403509,1.1405535284596562
seasonal_naive,A-Y,6,912,0.6617032097680009,0.5166887964155031,0.580605683310515,0.12212025395548065,0.7620614035087719,0.6074561403508771,0.9782198494676477
seasonal_naive,A-Y,7,912,0.6120098155791883,0.5369013986617471,0.5135231411520244,0.1198680089401198,0.7116228070175439,0.5504385964912281,0.8559333212524176
seasonal_naive,A-Z,0,640,1.2595378112558695,68.66754821391356,1.1680352994172034,0.41823462888675256,0.553125,0.471875,0.7953126528978138
seasonal_naive,A-Z,1,640,1.0082030164508562,104.85142849241007,0.9300252860146956,0.3084415219385951,0.5484375,0.46875,0.771084695533891
seasonal_naive,A-Z,2,640,0.5741477703374996,71.0813648446097,0.43845733675418624,0.11163898418112006,0.809375,0.6921875,1.0249574144712381
seasonal_naive,A-Z,3,640,0.6812232710941263,25.027791908413345,0.5159930144484143,0.14419702707447665,0.796875,0.6875,1.1242604890686452
seasonal_naive,A-Z,4,640,0.798537275941319,11.802890725529965,0.6769281556804858,0.15878979339619864,0.8109375,0.7140625,1.1458450769568407
seasonal_naive,A-Z,5,640,0.5430943157443717,73.02723679986448,0.353025540443601,0.10973364335405345,0.86875,0.76875,1.220382018695772
